Group,Image1,Image2,Image3,Image4,AudioFile,TargetLocation,Label,AdjTime,NounTime,NPTime,AudioDur
B,football.png,mushroom.png,helicopter.png,seahorse.png,seahorse.mp3,4,filler,,1020,1020,1926
B,helmet.png,penguin.png,grenade.png,hotdog.png,helmet.mp3,1,filler,,925,925,1555
B,grapefruit.png,bell.png,wine.png,ghost.png,bell.mp3,2,filler,,1052,1052,1505
B,motorcycle.png,folder.png,glove.png,pineapple.png,glove.mp3,3,filler,,1157,1157,1791
B,jumprope.png,leaf.png,map.png,carrot.png,carrot.mp3,4,filler,,945,945,1559
B,lipstick.png,unicorn.png,soccerball.png,plane.png,lipstick.mp3,1,filler,,938,938,1805
B,firefighter.png,lollipop.png,sushi.png,ticket.png,lollipop.mp3,2,filler,,971,971,1903
B,box.png,knight.png,popcorn.png,skirt.png,popcorn.mp3,3,filler,,1005,1005,1756
B,bow.png,pumpkin.png,baseball.png,turtle.png,turtle.mp3,4,filler,,1120,1120,1609
B,egg.png,saw.png,pie.png,moose.png,egg.mp3,1,filler,,933,933,1457
B,grasshopper.png,axe.png,medal.png,log.png,axe.mp3,2,filler,,1065,1065,1829
B,horseshoe.png,lemon.png,penny.png,firetruck.png,penny.mp3,3,filler,,1134,1134,1597
B,couch.png,necklace.png,cactus.png,planet.png,planet.mp3,4,filler,,1097,1097,1786
B,sandwich.png,mattress.png,thread.png,plate.png,sandwich.mp3,1,filler,,996,996,2158
B,cow.png,skull.png,doorknob.png,butter.png,skull.mp3,2,filler,,900,900,1584
B,moon.png,apron.png,castle.png,spatula.png,castle.mp3,3,filler,,1024,1024,1730
B,baby.png,sweater.png,ambulance.png,magnet.png,magnet.mp3,4,filler,,934,934,1844
B,dolphin.png,watch.png,yogurt.png,ballerina.png,dolphin.mp3,1,filler,,1066,1066,1821
B,soup.png,glue.png,cage.png,vacuum.png,glue.mp3,2,filler,,1098,1098,1623
B,icecubetray.png,boot.png,scarf.png,dinosaur.png,scarf.mp3,3,filler,,962,962,1682
B,horn.png,lungs.png,panther.png,peanut.png,peanut.mp3,4,filler,,1073,1073,1792
B,gorilla.png,ladle.png,crutches.png,peach.png,gorilla.mp3,1,filler,,1023,1023,1585
B,ostrich.png,fridge.png,top.png,stickynote.png,fridge.mp3,2,filler,,1008,1008,1742
B,basket.png,martini.png,nailpolish.png,button.png,button.mp3,3,filler,,1122,1122,1648
B,basket.png,martini.png,nailpolish.png,butterfly.png,butterfly.mp3,4,filler,,1114,1114,1822
B,wreath.png,monkey.png,salt.png,bridge.png,wreath.mp3,1,filler,,1054,1054,1661
B,thimble.png,robot.png,steak.png,nailclipper.png,robot.mp3,2,filler,,1162,1162,1940
B,pliers.png,oreo.png,envelope.png,fries.png,envelope.mp3,3,filler,,1062,1062,1858
B,foot.png,zipper.png,racket.png,paperclip.png,paperclip.mp3,4,filler,,1064,1064,2002
B,parachute.png,streetlight.png,thumb.png,marker.png,parachute.mp3,1,filler,,1086,1086,2072
B,swimsuit.png,tiger.png,trampoline.png,cleaver.png,tiger.mp3,2,filler,,1088,1088,1729
